Project ID,Building,Building ID,Level,GIA,Area,Actual start,Actual end,Actual duration,Worker-hours,Actual production rate,Labour productivity,Number of workers,Avg number of workers,Worker density,Cycle time,Planned start,Planned end,Planned duration,Planned production rate,Planned cycle time,Crane Asitha,Cranes,Pours,Batch area,Labour Issues,Level of Offsite Construction,Location and Logistical Issues,Supply Chain Issues,Design Complexity,Design Delays,Core,Columns,Beams,Slabs Asitha,Slabs,Frame
9,South Quay Plaza 1,L,8,823,2. Between 500 and 1000 m2,07/12/2017,20/12/2017,11,4136,75,0.20,38,7. Between 36 and 40,22,8,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,9,823,2. Between 500 and 1000 m2,16/12/2017,17/01/2018,18,5957,47,0.14,34,6. Between 31 and 35,24,12,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,10,824,2. Between 500 and 1000 m2,11/01/2018,31/01/2018,17,5775,50,0.14,35,6. Between 31 and 35,24,12,,,,,,2.0,2.0,2,412,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,11,823,2. Between 500 and 1000 m2,26/01/2018,08/02/2018,11,3245,75,0.25,29,5. Between 26 and 30,28,7,,,,,,2.0,2.0,2,412,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,12,823,2. Between 500 and 1000 m2,03/02/2018,16/02/2018,11,3186,75,0.26,29,5. Between 26 and 30,28,6,,,,,,2.0,2.0,2,412,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,13,823,2. Between 500 and 1000 m2,11/02/2018,24/02/2018,11,3360,75,0.25,31,6. Between 31 and 35,27,8,,,,,,2.0,2.0,2,412,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,14,823,2. Between 500 and 1000 m2,21/02/2018,08/03/2018,13,4580,63,0.18,35,6. Between 31 and 35,24,11,,,,,,2.0,2.0,2,412,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,15,823,2. Between 500 and 1000 m2,07/03/2018,20/03/2018,11,4149,75,0.20,38,7. Between 36 and 40,22,8,,,,,,2.0,2.0,2,411,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,16,827,2. Between 500 and 1000 m2,16/03/2018,07/04/2018,16,4951,53,0.17,32,6. Between 31 and 35,26,7,,,,,,2.0,2.0,2,414,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,17,827,2. Between 500 and 1000 m2,25/03/2018,17/04/2018,17,5143,50,0.16,31,6. Between 31 and 35,27,13,,,,,,2.0,2.0,2,414,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,18,827,2. Between 500 and 1000 m2,13/04/2018,25/04/2018,11,3606,79,0.23,34,6. Between 31 and 35,24,7,,,,,,2.0,2.0,2,414,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
9,South Quay Plaza 1,L,19,827,2. Between 500 and 1000 m2,21/04/2018,03/05/2018,10,3430,83,0.24,34,6. Between 31 and 35,24,6,,,,,,2.0,2.0,2,414,,,,,,,In-situ,In-situ,In-situ,In-situ,In-situ,1. Vertical (in-situ) and Slabs (in-situ)
